Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Everything/matmulcontext,1.4927236663803578,1.2755927797986089,1.678658488589967,0.4548664041570711,0.37971487045890856,0.5078559875955694
NumClusters/matmulcontext,1.8325178209487925,1.7398651374806102,1.876154716194433,0.13832272351779853,6.250007407765376e-2,0.239475863016437
ArrayReads/matmulcontext,1.883758925488431,1.8378746566304092,1.9389994799861252,0.10619803585517566,6.904933676884673e-2,0.1842927319984395
ArrayReadsWrites/matmulcontext,1.8939725908350415,1.782264430033007,1.9475988234939863,0.16462798590063105,8.023921400842501e-2,0.2991357811440669
IntermediateArrays/matmulcontext,1.9523295348482317,1.9026205709997153,2.014329231671332,0.12153372290003468,8.347302220324947e-2,0.1739060378605435
FusedEdges/matmulcontext,1.881919365639304,1.8296029580174067,1.9211448945664553,0.10130754849415059,5.3794290065749664e-2,0.16200595993134195
GreedyUp/matmulcontext,1.8649471036547869,1.7818282015992775,1.9187583252469462,0.1431059375714343,7.948952053399606e-2,0.22142100366316092
GreedyDown/matmulcontext,1.8671849327230834,1.7594629544373048,1.9193299434069204,0.14999187831696095,5.503048568128746e-2,0.24102162049493203
NoFusion/matmulcontext,41.504644953303796,34.50971416023094,49.54096629580454,9.23499848089001,3.044820105277328,12.586003324066512
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GreedyUp/matmulcontext,1.6093282945164777,1.3085210545754826,1.9071802607872101,0.6510957527814312,0.5345549321259793,0.8738456454003665
GreedyDown/matmulcontext,1.9551582802534269,1.8432695898449039,2.097925818701378,0.27910084704621174,0.19899241404417303,0.36182159618438475
NoFusion/matmulcontext,39.786535659053094,33.738748545210306,43.467295845378736,6.151677142169614,3.033937002465801,8.500351537590266
